u,v,key,access,bicycle,busway,cycleway,foot,highway,lanes,lit,maxspeed,motor_vehicle,name,oneway,ref,service,sidewalk,smoothness,surface,tunnel,width,osmid,timestamp,version,tags,osm_type,geometry,length
954712407,2511789008,0,,,,,,primary_link,3,yes,"['30', None]",,Βασιλίσσης Σοφίας,yes,ΕΟ54,,,,asphalt,,,"[87082472, 5728492]","[1586608694, 1586418255]","[27, 36]","['{""visible"":false,""int_name"":""Vasilissis Sofias""}', '{""visible"":false,""destination"":""\\u03A0\\u03B5\\u03B9\\u03C1\\u03B1\\u03B9\\u03AC\\u03C2;\\u0393\\u03BB\\u03C5\\u03C6\\u03AC\\u03B4\\u03B1"",""int_name"":""Vasilissis Sofias""}']",way,"LINESTRING (23.73609733581543 37.97616958618164, 23.73599243164063 37.97617340087891, 23.73596954345703 37.97616958618164, 23.73593521118164 37.97616195678711, 23.73590278625488 37.97614669799805, 23.73579597473145 37.97610473632813)",28.153
954712407,250691827,0,yes,yes,,no,,primary_link,1,yes,,,,yes,,,separate,,asphalt,,,227444705,1665013894,23,"{""visible"":false,""destination"":""\u039F\u03BC\u03CC\u03BD\u03BF\u03B9\u03B1""}",way,"LINESTRING (23.73609733581543 37.97616958618164, 23.73602294921875 37.97621536254883, 23.73597145080566 37.97624969482422, 23.7359561920166 37.97626495361328, 23.73594665527344 37.97627258300781, 23.73590278625488 37.976318359375, 23.73587989807129 37.97636413574219, 23.7358570098877 37.97642135620117, 23.73584365844727 37.97650146484375)",45.040000000000006
954712407,6220792258,0,,,,no,,primary,4,yes,,,Βασιλίσσης Σοφίας,no,ΕΟ54,,,,asphalt,,,170993800,1719844693,32,"{""visible"":false,""int_name"":""Vasilissis Sofias"",""lanes:backward"":""1"",""lanes:forward"":""3"",""sidewalk:both"":""separate"",""turn:lanes:forward"":""through|through|through|slight_right""}",way,"LINESTRING (23.73609733581543 37.97616958618164, 23.73681259155273 37.97607803344727, 23.73745536804199 37.97599411010742, 23.73751068115234 37.97598648071289, 23.73761749267578 37.97597503662109)",134.992
95663376,95663377,0,,,,,,tertiary,2,,,,Μενάνδρου,yes,,,,,asphalt,,,10741722,1697094501,41,"{""visible"":false,""int_name"":""Menandrou""}",way,"LINESTRING (23.72592544555664 37.98595809936523, 23.72585105895996 37.98566055297852, 23.72578811645508 37.98541259765625, 23.72578430175781 37.98539733886719)",63.569
95663376,95663493,0,,,,,,residential,,,,,Βερανζέρου,yes,,,both,,asphalt,,6,32357772,1715970975,29,"{""visible"":false,""int_name"":""Veranzerou"",""lane_markings"":""no""}",way,"LINESTRING (23.72592544555664 37.98595809936523, 23.72530174255371 37.98605346679688, 23.72524452209473 37.98606491088867, 23.72518920898438 37.9860725402832)",65.775
95663377,11256819883,0,,,,,,tertiary,2,,,,Μενάνδρου,yes,,,,,asphalt,,,10741722,1697094501,41,"{""visible"":false,""int_name"":""Menandrou""}",way,"LINESTRING (23.72578430175781 37.98539733886719, 23.72566604614258 37.98493957519531)",51.945
95663377,95663386,0,,,,,,residential,,,,,Σατωβριάνδου,yes,,,,,asphalt,,,10741731,1554144793,16,"{""visible"":false}",way,"LINESTRING (23.72578430175781 37.98539733886719, 23.72697830200195 37.98522186279297, 23.72704887390137 37.98521041870117)",112.761
11256819883,11256819882,0,,,,,,residential,,,,,Μενάνδρου,,,,,,,,,1214975690,1697096093,2,"{""visible"":false,""noexit"":""yes""}",way,"LINESTRING (23.72566604614258 37.98493957519531, 23.72617340087891 37.98485946655273)",45.349
11256819883,250720872,0,,,,,,tertiary,2,,,,Μενάνδρου,yes,,,,,asphalt,,,10741722,1697094501,41,"{""visible"":false,""int_name"":""Menandrou""}",way,"LINESTRING (23.72566604614258 37.98493957519531, 23.72559356689453 37.98466110229492, 23.72556114196777 37.98453521728516)",45.893
250720872,95663389,0,,,,,"[None, 'yes']","['primary', 'residential']","['2', '1']","[None, 'yes']","[None, '50']",,"['Αγίου Κωνσταντίνου', 'Κουμουνδούρου']",yes,"['ΕΟ8', None]",,,,asphalt,,"['3', None]","[286070634, 24259066]","[1714767633, 1715971286]","[10, 28]","['{""visible"":false}', '{""visible"":false,""int_name"":""Agiou Konstantinou"",""trolley_wire"":""yes"",""turn:lanes"":""left;through|through;right""}']",way,"LINESTRING (23.72556114196777 37.98453521728516, 23.72552490234375 37.98454284667969, 23.72544288635254 37.98455810546875, 23.72492408752441 37.98464202880859, 23.7248477935791 37.98465347290039, 23.72504234313965 37.98546981811523, 23.72505187988281 37.98550415039063)",160.165
